classes
abind
airports
anticlust
anytime
AsioHeaders
askpass
backports
base
base64enc
bayesplot
bayestestR
BBmisc
bbotk
BH
bigD
biglm
BiocManager
bit
bit64
bitops
blob
boot
BradleyTerry2
brew
brglm
brio
broom
broom.helpers
bslib
cachem
callr
car
carData
cards
cardx
caret
CASdatasets
caTools
causaldata
causalworkshop
cellranger
checkmate
cherryblossom
chk
chromote
class
classInt
cli
clipr
clock
cluster
clusterGeneration
cmdstanr
codetools
colorspace
combinat
commonmark
compiler
config
conflicted
correlation
corrplot
countdown
cowplot
cpp11
crayon
credentials
crosstalk
crul
curl
dagitty
data.table
data.tree
DataExplorer
datasets
datawizard
dbarts
DBI
dbplyr
Deriv
desc
DescTools
devtools
diagram
DiagrammeR
dials
DiceDesign
DiceKriging
diffobj
digest
discrim
distillery
distributional
doFuture
doParallel
DoubleML
downlit
dplyr
dreamerr
DT
dtplyr
dtt
dtw
dygraphs
e1071
effectsize
ellipsis
english
EnvStats
estimatr
evaluate
Exact
exactRankTests
expm
extraDistr
extrafont
extrafontdb
extRemes
fansi
farver
fastmap
fastmatch
findInFiles
fivethirtyeight
fixest
flexclust
fontawesome
fontBitstreamVera
fontLiberation
fontquiver
forcats
foreach
forecast
foreign
Formula
fracdiff
fs
furrr
future
future.apply
GA
gapminder
gargle
gdtools
geepack
generics
gert
gfonts
gfoRmula
GGally
ggdag
ggfittext
ggforce
ggfortify
ggfun
ggimage
ggokabeito
ggplot2
ggplotify
ggpp
ggpubr
ggraph
ggrepel
ggridges
ggsci
ggsignif
ggstats
ggtext
gh
gitcreds
gld
glmnet
globals
glue
googledrive
googlesheets4
gower
GPArotation
GPfit
graphics
graphlayouts
grDevices
grid
gridExtra
gridGraphics
gridtext
gt
gtable
gtExtras
gtools
gtsummary
halfmoon
hardhat
haven
here
hexbin
hexSticker
highr
Hmisc
hms
hrbrthemes
htmlTable
htmltools
htmlwidgets
httpcode
httpuv
httr
httr2
ids
igraph
infer
ini
inline
insight
ipred
ISLR
ISLR2
isoband
iterators
ivreg
janeaustenr
janitor
jomo
jpeg
jquerylib
jsonlite
juicyjuice
JuliaCall
kableExtra
keras
kernlab
KernSmooth
KFAS
kknn
klaR
km.ci
KMsurv
knitr
labeling
labelled
Lahman
later
latex2exp
lattice
lava
lazyeval
lexicon
lgr
lhs
librarian
lifecycle
lightgbm
listenv
lme4
lmom
Lmoments
lmtest
loo
lubridate
magick
magrittr
markdown
MASS
Matching
MatchIt
Matrix
MatrixModels
matrixStats
maxLik
maxstat
memoise
methods
mgcv
mgsub
mice
miceadds
microbenchmark
microbenchmarkCore
mime
miniUI
minqa
miscTools
mitml
mitools
mlbench
mlr
mlr3
mlr3extralearners
mlr3learners
mlr3measures
mlr3misc
mlr3tuning
mlrMBO
mnormt
modelbased
modeldata
modelenv
ModelMetrics
modelr
modeltime
modeltools
munsell
mvtnorm
networkD3
neuralnet
nlme
nloptr
NLP
nnet
nortest
numDeriv
openintro
openssl
optmatch
ordinal
padr
paletteer
palmerpenguins
pan
paradox
parallel
parallelly
parallelMap
parameters
ParamHelpers
parsnip
patchwork
pbkrtest
PDE
performance
pillar
pkgbuild
pkgconfig
pkgdown
pkgload
plogr
plotly
plotrix
plyr
png
polyclip
polynom
posterior
praise
prettyunits
prismatic
pROC
processx
prodlim
profileModel
profvis
progress
progressr
promises
propensity
prophet
proxy
PRROC
ps
pso
psych
purrr
qdapRegex
quadprog
quantmod
quantreg
quartets
questionr
QuickJSR
qvcalc
R.cache
R.methodsS3
R.oo
R.utils
R6
ragg
randomForest
randomForestSRC
ranger
RANN
rappdirs
rBayesianOptimization
rcmdcheck
RColorBrewer
Rcpp
RcppArmadillo
RcppEigen
RcppGSL
RcppParallel
RcppProgress
RcppRoll
RcppTOML
RcppZiggurat
rdeps
reactable
reactR
readr
readstata13
readxl
recipes
rematch
rematch2
remotes
renv
repr
reprex
reshape2
reticulate
Rfast
RhpcBLASctl
rJava
rjson
rlang
rlemon
rlist
rmarkdown
rootSolve
roxygen2
rpart
rprojroot
rsample
RSQLite
rstan
rstantools
rstatix
rstudioapi
Rttf2pt1
RVerbalExpressions
rversions
rvest
RWeka
RWekajars
sandwich
sass
scales
scatterplot3d
see
selectr
sensemakr
sessioninfo
shades
shape
shiny
showtext
showtextdb
skimr
slam
slider
smd
smoof
snakecase
snow
SnowballC
snowfall
sourcetools
sp
SparseM
spatial
speedglm
splines
SQUAREM
StanHeaders
Stat2Data
stats
stats4
stringi
stringmagic
stringr
styler
survey
survival
survminer
survMisc
svglite
sys
sysfonts
systemfonts
syuzhet
tcltk
tcltk2
tensorA
tensorflow
testthat
textclean
textshape
textshaping
tfautograph
tfruns
tibble
tictoc
tidyclust
tidygraph
tidymodels
tidyr
tidyselect
tidysmd
tidytext
tidyverse
timechange
timeDate
timetk
tinytex
tipr
tokenizers
tools
touringplans
triebeard
truncnorm
truncreg
tseries
tsfeatures
TTR
tune
tweenr
tzdb
ucminf
urca
urlchecker
urltools
usdata
usethis
utf8
utils
uuid
V8
vctrs
viridis
viridisLite
visNetwork
vroom
waldo
warp
webshot2
websocket
whisker
withr
wkb
workflows
workflowsets
xfun
xgboost
XML
xml2
xopen
xtable
xts
yaml
yardstick
yulab.utils
zeallot
zip
zoo
