Part Number,List ID,Intercept,Slope - log(Price),p-value,R-squared
192061-01,1,7.32583793940589,-0.212205046349047,0.845539992799191,0.00184903816744202
192061-02,2,9.6459795526354,-0.463484670223246,0.652416962324867,0.0098440173588416
196917-01,3,8.49585068554469,-0.51850765384896,0.592536820662547,0.0138691096884759
763061-03,4,5.94308082794928,-0.228871738059554,0.899354111144723,0.000819727025943669
776670-35WM,5,35.5969672328266,-3.79611236137817,0.143676018238425,0.201115218559296
776678-35,6,-239.768536329969,28.0167942505145,0.337641543349655,0.438718725096228
778927-01,7,32.8023378602047,-3.71240612135094,0.00964391036600325,0.278550295790207
779018-01,8,14.1572891180441,-2.24146375772749,0.0435527489303687,0.180108939476344
779019-01,9,5.28927441973439,0.00755563675374242,0.990502106585215,6.91051828560717e-06
779139-01,10,7.40058828869612,-0.302576945697518,0.761865454559231,0.00446805211429163
779140-01,11,2.71139692822106,0.432484311966615,0.738685822466622,0.00541216915483298
779205-01,12,2.94860621379333,0.728149770332399,0.450885708710386,0.0273375996432144
779351-01,13,2.18749693006774,0.619745909309778,0.367973231982016,0.0387507595379327
779357-01,14,10.7282639877812,-0.659551950433002,0.46295111428653,0.0259292080165442
779516-01,15,7.16790718808829,-0.319929130840493,0.728380807167434,0.00586402202630034
779526-01,16,0.352959717306511,0.447532332409993,0.833071830639336,0.00354453062572858
779600-01,17,5.57907396024938,-0.059088524708123,0.952193609901962,0.000175263272777245
779640-01,18,1.90351282462365,0.580379294514762,0.800677150792038,0.00310357364853785
780534-01,19,10.0429951873361,-1.52225505129056,0.075387117880349,0.142841700980187
781030-01,20,13.9815096292164,-1.34137179054746,0.383376254978829,0.036373914656564
781156-01,21,11.583316830679,-0.807206604131814,0.284739959849359,0.0542697627989173
781157-01,22,0.900929263240002,0.717160428023289,0.161443480388651,0.0911676850366875
781397-01,23,44.2399292397624,-5.30996035617776,0.0343385303040411,0.214804055214062
781425-01,24,13.457436157198,-1.1736512239516,0.13833270539293,0.10155231198435
781503-01,25,11.0264126668319,-0.823855058408097,0.390960176197502,0.0370230369238386
781510-01,26,13.3799606452345,-1.11008604636989,0.270423412211761,0.0575043446497066
782384-01,27,0.0743349934471873,0.357921049808772,0.678837900240812,0.0161756256421587
782536-01,28,3.6562475856373,0.507805203607166,0.643190694049016,0.0104100777634343
782715-01,29,9.64190812016427,-1.01820205674164,0.157377668546864,0.0928757653145809
783130-01,30,6.95232534079869,-0.216062331154352,0.843107372905504,0.00190845390818488
783196-01,31,-22.2048138641318,4.27135328363715,0.0491173884224627,0.248976219122802
783731-01,32,6.34494014967732,-0.242259446106452,0.824176703814431,0.00240429401490404
783850-01,33,19.4097251723288,-1.77658101757035,0.894415380550327,0.00689255895784734
784584-35,34,-69.3707115833243,9.37657388694847,0.00162640633832605,0.54691374698521
784661-01,35,3.69041608862299,0.209047501434039,0.743600441134654,0.00520370252373309
785041-01,36,-0.0692709928157789,0.707139920865289,0.520904793788349,0.019895149301051
785064-01,37,-10.2594209956817,2.17272338098279,0.001025812463961,0.408538483318383
785065-01,38,2.24006854386329,0.448456359548531,0.685443768789153,0.00796860787895918
785080-01,39,11.010262038406,-1.27511365640275,0.185005869240679,0.0861172021840675
785184-01,40,3.69430619233737,0.295134437338476,0.624900057656125,0.0115890913545259
785185-01,41,9.68247938900283,-0.547712375383193,0.572382701154998,0.0154216701188127
785188-01,42,0.492461748188322,0.521050272102117,0.648236442387809,0.0100981645328673
